No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Company,Industry,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Industry,Country,Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
1,A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,16624.86,33.22,21.51,3.19,3.92,3.87,7.42,32.09,1.03%,30.40%,1.55,7.40%,11.84%,-13.20%,10.43%,-8.70%,39.10%,3.80%,"Agilent Technologies, Inc.",Medical Laboratories & Research,321.29,0.30%,-12.40%,88.20%,-0.85%,1.67%,2.62,6.60%,11.90%,8.70%,3.3,2.8,0.42,0.46,52.70%,15.70%,12.00%,2.52%,8.38%,12.13%,Medical Laboratories & Research,USA,39.41%,13.32%,1.21,0.85,1.77%,1.59%,4.85%,8.28%,12.37%,-0.41%,17.39%,-0.41%,50.20%,68.9,1.93%,-0.37%,1.9,2049.45,1.07,51.63,1.55%,2195788,2/14/2017 16:30
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,6667.35,,18.21,,0.72,1.17,,,,,-2.14,53.70%,5.13%,,,,84.90%,3.50%,Alcoa Corporation,Aluminum,146.39,0.20%,-98.45%,56.70%,,4.09%,1.39,-2.30%,-4.90%,-2.70%,1.1,0.7,0.25,0.26,15.30%,0.00%,-4.20%,-5.46%,2.23%,15.25%,Aluminum,USA,,28.95%,,1.23,2.83%,3.23%,-2.54%,8.62%,18.22%,-8.97%,29.28%,-8.97%,81.76%,51.84,-0.08%,-0.60%,2.2,4310.72,1.05,36.21,-0.69%,4516429,1/24/2017 16:30
3,AAAP,Advanced Accelerator Applications S.A.,Healthcare,Diagnostic Substances,France,1562.69,,,,14.12,8.16,20.09,,,,-0.65,-103.10%,-2.10%,,,,-237.30%,15.10%,Advanced Accelerator Applications S.A.,Diagnostic Substances,4.69,,,31.90%,68.20%,7.81%,3.17,-6.30%,-10.40%,-5.40%,3.1,2.9,0.08,0.11,79.10%,-12.20%,-16.70%,-2.74%,26.94%,-0.88%,Diagnostic Substances,France,16.21%,35.05%,,0.94,2.38%,2.90%,8.61%,20.91%,11.52%,-3.88%,53.79%,-8.88%,55.71%,75.17,0.64%,0.03%,2.2,115.59,1.28,36.14,0.67%,147440,2/27/2017 16:30
4,AAC,"AAC Holdings, Inc.",Healthcare,Specialized Health Services,USA,191.07,,11.34,,0.72,1.14,14.37,,,,-0.03,17.40%,-0.42%,,20.00%,,-198.80%,22.80%,"AAC Holdings, Inc.",Specialized Health Services,11.57,5.50%,0.00%,50.00%,-14.40%,25.40%,17.62,-0.20%,-0.40%,3.90%,2.4,2.4,1.11,1.16,,0.10%,-0.20%,2.66%,3.31%,-16.82%,Specialized Health Services,USA,-62.19%,12.02%,,0.27,3.88%,3.33%,1.37%,3.45%,-47.46%,-6.78%,23.44%,-66.74%,34.94%,55.63,1.25%,-0.62%,2,166.9,0.51,8.11,0.62%,84704,2/27/2017 16:30
5,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.53%,,,,,,,,,,AdvisorShares Dorsey Wright ADR ETF,Exchange Traded Fund,,,,,,,1.45,,,,,,,,,,,0.80%,4.61%,16.28%,Exchange Traded Fund,USA,21.66%,13.07%,,0.6,1.04%,1.31%,1.66%,6.65%,12.32%,-1.24%,16.25%,-1.24%,28.54%,66.52,-0.59%,-0.17%,,7.56,1.83,45.43,-0.76%,13826,
6,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,24336.44,9.82,8.77,4.51,0.61,6.37,3.83,,0.85%,8.30%,4.78,-56.50%,15.31%,18.20%,2.18%,10.90%,-89.10%,1.70%,American Airlines Group Inc.,Major Airlines,512.43,0.70%,-13.85%,80.40%,1.07%,5.14%,4.05,5.30%,62.20%,13.00%,0.7,0.7,5.94,6.43,35.00%,13.20%,6.70%,0.99%,-0.52%,5.77%,Major Airlines,USA,19.24%,0.69%,,1.23,2.10%,2.53%,1.57%,-0.36%,21.22%,-7.16%,7.91%,-7.16%,90.24%,51.56,0.17%,-0.30%,2.4,6499.96,0.7,46.91,-0.13%,4573789,1/27/2017 8:30
7,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,117.58,,,,2.96,,2.81,,,,-6.03,-107.50%,,,,,27.30%,-91.30%,Altisource Asset Management Corporation,Asset Management,0.87,0.40%,-94.78%,39.10%,-0.83%,15.65%,10.88,-1.80%,6.70%,-4.50%,,,,,63.90%,,-31.30%,2.26%,5.27%,154.05%,Asset Management,USA,305.54%,43.64%,3,5.06,4.77%,8.40%,8.16%,27.10%,155.08%,-8.51%,174.84%,-8.51%,574.12%,60.16,3.43%,-0.47%,,12.55,0.58,76.85,2.95%,7307,2/27/2017 8:30
8,AAME,Atlantic American Corporation,Financial,Life Insurance,USA,79.4,79.59,,,0.48,0.73,6.67,99.26,0.51%,40.70%,0.05,1.90%,,55.20%,,9.20%,-64.20%,5.00%,Atlantic American Corporation,Life Insurance,4.13,7.40%,0.00%,5.10%,-1.89%,0.14%,1.26,0.30%,0.90%,4.30%,,,0.31,0.31,,2.20%,0.60%,4.00%,-2.50%,2.48%,Life Insurance,USA,-10.59%,-4.88%,0.44,0.14,5.30%,2.86%,3.45%,0.81%,2.48%,-10.34%,8.01%,-21.68%,27.45%,54.04,4.00%,-3.57%,,4.43,0.2,3.9,0.28%,886,3/28/2017
9,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,2108.08,14.15,10.19,1.18,0.65,1.3,6.83,,0.41%,5.30%,1.9,2.70%,9.85%,5.90%,12.00%,9.80%,0.80%,-3.20%,"Aaron's, Inc.",Rental & Leasing Services,70.47,0.30%,20.53%,82.30%,4.63%,4.85%,4.64,5.40%,9.60%,8.30%,,,0.34,0,89.80%,7.50%,4.30%,-10.38%,-7.74%,-5.94%,Rental & Leasing Services,USA,22.24%,-15.82%,0.22,1.17,5.98%,3.34%,-11.06%,-14.40%,2.11%,-21.30%,-6.82%,-21.30%,32.92%,22.68,-11.85%,3.49%,2,736.7,6.11,26.93,-8.77%,4504397,2/17/2017 8:30
10,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,615.7,34.7,17.81,1.98,2.69,3.41,11.01,,,0.00%,1.07,131.50%,63.77%,34.70%,17.50%,36.20%,497.20%,22.80%,"Applied Optoelectronics, Inc.",Semiconductor - Integrated Circuits,16.34,2.40%,-16.66%,82.50%,4.91%,12.75%,4.13,6.60%,11.50%,5.60%,2.3,1.5,0.36,0.51,30.70%,4.40%,8.60%,14.12%,22.28%,42.91%,Semiconductor - Integrated Circuits,USA,133.23%,59.00%,2.55,1.79,5.90%,4.67%,15.53%,33.68%,95.15%,1.55%,70.34%,1.55%,361.26%,76.69,5.19%,-1.01%,2,504.6,1.25,37.27,4.14%,629469,2/23/2017 16:30
